frame,time_ns,n_hydrogen_bonds
1260,50.4,203
1261,50.44,210
1262,50.480000000000004,196
1263,50.52,201
1264,50.56,204
1265,50.6,199
1266,50.64,194
1267,50.68,205
1268,50.72,210
1269,50.76,208
1270,50.800000000000004,205
1271,50.84,203
1272,50.88,202
1273,50.92,204
1274,50.96,202
1275,51.0,217
1276,51.04,201
1277,51.08,199
1278,51.120000000000005,203
1279,51.160000000000004,197
1280,51.2,196
1281,51.24,193
1282,51.28,204
1283,51.32,211
1284,51.36,207
1285,51.4,205
1286,51.44,201
1287,51.480000000000004,205
1288,51.52,192
1289,51.56,202
1290,51.6,214
1291,51.64,204
1292,51.68,196
1293,51.72,208
1294,51.76,204
1295,51.800000000000004,212
1296,51.84,201
1297,51.88,206
1298,51.92,207
1299,51.96,201
1300,52.0,198
1301,52.04,199
1302,52.08,205
1303,52.120000000000005,204
1304,52.160000000000004,208
1305,52.2,195
1306,52.24,203
1307,52.28,213
1308,52.32,196
1309,52.36,198
1310,52.4,196
1311,52.44,207
1312,52.480000000000004,190
1313,52.52,196
1314,52.56,209
1315,52.6,201
1316,52.64,197
1317,52.68,211
1318,52.72,209
1319,52.76,201
1320,52.800000000000004,202
1321,52.84,195
1322,52.88,204
1323,52.92,211
1324,52.96,204
1325,53.0,213
1326,53.04,203
1327,53.08,211
1328,53.120000000000005,193
1329,53.160000000000004,195
1330,53.2,199
1331,53.24,200
1332,53.28,191
1333,53.32,193
1334,53.36,200
1335,53.4,206
1336,53.44,208
1337,53.480000000000004,214
1338,53.52,200
1339,53.56,202
1340,53.6,193
1341,53.64,197
1342,53.68,197
1343,53.72,193
1344,53.76,197
1345,53.800000000000004,206
1346,53.84,203
1347,53.88,213
1348,53.92,193
1349,53.96,201
1350,54.0,217
1351,54.04,216
1352,54.08,203
1353,54.120000000000005,206
1354,54.160000000000004,205
1355,54.2,202
1356,54.24,222
1357,54.28,200
1358,54.32,208
1359,54.36,194
1360,54.4,201
1361,54.44,195
1362,54.480000000000004,205
1363,54.52,210
1364,54.56,204
1365,54.6,199
1366,54.64,211
1367,54.68,220
1368,54.72,198
1369,54.76,195
1370,54.800000000000004,205
1371,54.84,198
1372,54.88,204
1373,54.92,214
1374,54.96,217
1375,55.0,213
1376,55.04,199
1377,55.08,191
1378,55.120000000000005,206
1379,55.160000000000004,217
1380,55.2,207
1381,55.24,216
1382,55.28,200
1383,55.32,217
1384,55.36,205
1385,55.4,203
1386,55.44,215
1387,55.480000000000004,222
1388,55.52,213
1389,55.56,200
1390,55.6,196
1391,55.64,210
1392,55.68,203
1393,55.72,195
1394,55.76,202
1395,55.800000000000004,205
1396,55.84,209
1397,55.88,211
1398,55.92,215
1399,55.96,205
1400,56.0,209
1401,56.04,215
1402,56.08,204
1403,56.120000000000005,210
1404,56.160000000000004,206
1405,56.2,197
1406,56.24,195
1407,56.28,200
1408,56.32,199
1409,56.36,215
1410,56.4,197
1411,56.44,193
1412,56.480000000000004,199
1413,56.52,196
1414,56.56,206
1415,56.6,193
1416,56.64,197
1417,56.68,199
1418,56.72,206
1419,56.76,197
1420,56.800000000000004,213
1421,56.84,208
1422,56.88,220
1423,56.92,188
1424,56.96,207
1425,57.0,203
1426,57.04,199
1427,57.08,218
1428,57.120000000000005,202
1429,57.160000000000004,208
1430,57.2,208
1431,57.24,209
1432,57.28,207
1433,57.32,202
1434,57.36,207
1435,57.4,206
1436,57.44,202
1437,57.480000000000004,200
1438,57.52,220
1439,57.56,206
1440,57.6,208
1441,57.64,209
1442,57.68,206
1443,57.72,211
1444,57.76,209
1445,57.800000000000004,195
1446,57.84,200
1447,57.88,196
1448,57.92,204
1449,57.96,199
1450,58.0,197
1451,58.04,201
1452,58.08,211
1453,58.120000000000005,193
1454,58.160000000000004,209
1455,58.2,199
1456,58.24,195
1457,58.28,190
1458,58.32,210
1459,58.36,209
1460,58.4,202
1461,58.44,199
1462,58.480000000000004,212
1463,58.52,200
1464,58.56,205
1465,58.6,200
1466,58.64,205
1467,58.68,201
1468,58.72,218
1469,58.76,195
1470,58.800000000000004,198
1471,58.84,200
1472,58.88,192
1473,58.92,208
1474,58.96,205
1475,59.0,208
1476,59.04,201
1477,59.08,209
1478,59.120000000000005,206
1479,59.160000000000004,203
1480,59.2,206
1481,59.24,202
1482,59.28,204
1483,59.32,211
1484,59.36,207
1485,59.4,214
1486,59.44,196
1487,59.480000000000004,202
1488,59.52,212
1489,59.56,206
1490,59.6,219
1491,59.64,204
1492,59.68,198
1493,59.72,200
1494,59.76,214
1495,59.800000000000004,201
1496,59.84,213
1497,59.88,213
1498,59.92,207
1499,59.96,198
1500,60.0,205
1501,60.04,207
1502,60.08,203
1503,60.120000000000005,205
1504,60.160000000000004,213
1505,60.2,197
1506,60.24,198
1507,60.28,192
1508,60.32,205
1509,60.36,210
1510,60.4,214
1511,60.44,207
1512,60.480000000000004,206
1513,60.52,191
1514,60.56,190
1515,60.6,212
1516,60.64,212
1517,60.68,215
1518,60.72,209
1519,60.76,199
1520,60.800000000000004,206
1521,60.84,193
1522,60.88,207
1523,60.92,205
1524,60.96,200
1525,61.0,207
1526,61.04,204
1527,61.08,207
1528,61.120000000000005,201
1529,61.160000000000004,205
1530,61.2,197
1531,61.24,212
1532,61.28,197
1533,61.32,209
1534,61.36,204
1535,61.4,199
1536,61.44,179
1537,61.480000000000004,206
1538,61.52,208
1539,61.56,197
1540,61.6,199
1541,61.64,199
1542,61.68,210
1543,61.72,198
1544,61.76,204
1545,61.800000000000004,195
1546,61.84,188
1547,61.88,210
1548,61.92,199
1549,61.96,194
1550,62.0,198
1551,62.04,208
1552,62.08,199
1553,62.120000000000005,210
1554,62.160000000000004,215
1555,62.2,210
1556,62.24,199
